Title,Author,Year
The Twits,Roald Dahl/Quentin Blake,2004
Far from the Madding Crowd,Thomas Hardy/Suzanne Keen,2002
Far From the Madding Crowd,Thomas Hardy/Rosemarie Morgan/Shannon Russell,2003
Far From the Madding Crowd,Thomas Hardy/Suzanne B. Falck-Yi/Linda M. Shires,2002
Far from the Madding Crowd,Thomas Hardy,1994
Middlemarch: An Authoritative Text  Backgrounds  Reviews and Criticism,George Eliot/Bert G. Hornback,1977
Slaughterhouse: The Shocking Story of Greed  Neglect  And Inhumane Treatment Inside the U.S. Meat Industry,Gail A. Eisnitz,2006
A Dance At The Slaughterhouse (Matthew Scudder  #9),Lawrence Block,2000
Slaughterhouse Blues: The Meat and Poultry Industry in North America,Donald D. Stull/Michael J. Broadway/Eric Schlosser,2003
Inky The Indigo Fairy (Rainbow Magic  #6),Daisy Meadows/Georgie Ripper,2006
Sunny The Yellow Fairy (Rainbow Magic  #3),Daisy Meadows/Georgie Ripper,2005
Sky The Blue Fairy (Rainbow Magic  #5),Daisy Meadows/Georgie Ripper,2005
Heather The Violet Fairy (Rainbow Magic  #7),Daisy Meadows/Georgie Ripper,2006
Ruby the Red Fairy (Rainbow Magic  #1),Daisy Meadows/Georgie Ripper,2005
Unweaving the Rainbow: Science  Delusion and the Appetite for Wonder,Richard Dawkins,2000
The Rainbow Goblins,Ul De Rico,1978
The Serpent and the Rainbow,Wade Davis,1997
The Rainbow,D.H. Lawrence/Daphne Merkin,2009
Standing in the Rainbow (Elmwood Springs  #2),Fannie Flagg,2004
The Scarlet Pimpernel,Emmuska Orczy/Margaret Brantley,2004
Adventures of the Scarlet Pimpernel,Emmuska Orczy,1983
Love's Enduring Promise (Love Comes Softly  #2),Janette Oke,2003
Of Human Bondage,W. Somerset Maugham/Benjamin DeMott/Maeve Binchy,2007
Phantoms in the Brain: Probing the Mysteries of the Human Mind,V.S. Ramachandran/Sandra Blakeslee/Oliver Sacks,1999
Mangoes & Curry Leaves: Culinary Travels Through the Great Subcontinent,Jeffrey Alford/Naomi Duguid,2005
Curry: A Tale of Cooks and Conquerors,Lizzie Collingham,2006
50 Great Curries of India,Camellia Panjabi,2005
Curries Without Worries,Sudha Koul/Warner Books,1996
Seminar on Nietzsche's Zarathustra,C.G. Jung/James L. Jarrett,1997
The Polar Express,Chris Van Allsburg,2005
Trip To The North Pole (The Polar Express: The Movie),Ellen Weiss/Doyle Partners/Robert Zemeckis,2004
Blow Fly (Kay Scarpetta  #12),Patricia Cornwell,2004
The Gift of the Magi and Other Short Stories,O. Henry,1992
James and the Giant Peach,Roald Dahl/Nancy Ekholm Burkert,1978
Ten Short Stories Book & Cd Pack (Penguin Student Editions),Roald Dahl,2000
The Ultramarines Omnibus (Ultramarines #1-3),Graham McNeill,2008
Star Wars Omnibus: X-Wing Rogue Squadron  Vol. 2,Michael A. Stackpole/Jan Strnad/Ryder Windham/Jordi Ensign/John Nadeau/Gary Erskine,2006
The Soul Drinkers Omnibus (Soul Drinkers #1-3),Ben Counter,2006
James and the Giant Peach,Roald Dahl/Quentin Blake,1998
James and the Giant Peach: a Play,Richard R. George/Roald Dahl,2007
James & The Giant Peach (Disney's),Roald Dahl/Karey Kirkpatrick/Lane Smith,1996
The Progress of Love,Alice Munro,2000
A Memoir of Jane Austen and Other Family Recollections,J.E. Austen Leigh/Caroline Austen/Henry Austen/Anna Austen Lefroy/Kathryn Sutherland,2002
The Jane Austen Cookbook,Maggie Black/Deirdre Le Faye,2002
The Complete Novels,Jane Austen/Karen Joy Fowler,2006
The Cambridge Companion to Jane Austen,Edward Copeland/Juliet McMaster,1997
The Man Who Loved Jane Austen (The Man Who Loved Jane Austen #1),Sally Smith O'Rourke,2006
Jane Austen: A Life,Carol Shields,2005
The Complete Novels of Jane Austen,Jane Austen,2005
Persuasion,Jane Austen/Gillian Beer,2003
The History of England,Jane Austen/Cassandra Austen/Deirdre Le Faye/A.S. Byatt,1993
Jane and the Wandering Eye (Jane Austen Mysteries  #3),Stephanie Barron,2009
Dante: Poet of the Secular World,Erich Auerbach/Ralph Manheim/Michael Dirda,2007
Silent Running,James F. Calvert,1997
Zur Genealogie der Moral,Friedrich Nietzsche,1998
Nietzche and Philosophy,Gilles Deleuze/Michael Hardt,2006
The Will to Power,Friedrich Nietzsche/Walter Kaufmann/R.J. Hollingdale,2011
The Story of Philosophy: The Lives and Opinions of the World's Greatest Philosophers,Will Durant,1991
The Oxford Companion to Philosophy,Ted Honderich,2005
South Park and Philosophy: You Know  I Learned Something Today,Robert Arp,2006
Superheroes and Philosophy: Truth  Justice  and the Socratic Way,Tom Morris/William Irwin,2005
The Simpsons and Philosophy: The D'oh! of Homer,William Irwin/Aeon J. Skoble/Mark T. Conard,2001
Philosophy for Dummies,Tom Morris,1999
The Philosophy of Andy Warhol (From A to B and Back Again),Andy Warhol,1977
Harry Potter and Philosophy: If Aristotle Ran Hogwarts,David Baggett/Shawn E. Klein,2004
Philosophy of Religion: An Anthology,Louis P. Pojman,2002
A History of Philosophy 1: Greece and Rome,Frederick Charles Copleston,2003
Western Philosophy: An Anthology,John Cottingham,1996
Star Wars and Philosophy: More Powerful than You Can Possibly Imagine,Kevin S. Decker/Jason T. Eberl/William Irwin/George Lucas/William O. Stephens/Walter Ritoku Robinson/Richard H. Dees/Judith A. Barad/Elizabeth F. Cooke/Richard Hanley/Jerold J. Abrams/Robert Arp/Jan-Erik Jones,2005
Bullshit and Philosophy,Gary L. Hardcastle/George A. Reisch,2006
The Consolation of Philosophy,Boethius/Victor Watts,1999
Philosophy of Mind: Classical and Contemporary Readings,David J. Chalmers,2002
The Undead and Philosophy: Chicken Soup for the Soulless,Richard V. Greene/K. Silem Mohammad,2006
An Introduction to Political Philosophy,Jonathan Wolff,2006
Philosophy: The Basics,Nigel Warburton,2004
A Young Person's Guide To Philosophy,Jeremy Weate/Peter Lawman,1998
Philosophy in the Flesh: The Embodied Mind and its Challenge to Western Thought,George Lakoff/Mark  Johnson,1999
Practical Philosophy,Immanuel Kant/Mary J. Gregor,1999
Readings in Classical Chinese Philosophy,Philip J. Ivanhoe/Bryan W. Van Norden,2005
Logic and Philosophy: A Modern Introduction,Alan Hausman/Paul Tidman,2006
History of Political Philosophy,Leo Strauss/Joseph Cropsey,1987
What Is Ancient Philosophy?,Pierre Hadot/Michael Chase,2004
Lectures on the History of Philosophy 1: Greek Philosophy to Plato,Georg Wilhelm Friedrich Hegel/E.S. Haldane/Frederick C. Beiser,1995
Seinfeld and Philosophy,William Irwin,1999
Introduction to the Philosophies of Research and Criticism in Education and the Social Sciences,James   Paul,2004
Introducing Philosophy,Dave Robinson/Chris Garratt/Judy Groves,2000
The Matrix and Philosophy: Welcome to the Desert of the Real,William Irwin/Gerald J. Erion/Barry  Smith/Carolyn Korsmeyer/Jonathan J. Sanford/Jason Holt/Theodore Schick Jr./Gregory Bassham/James Lawler/David Mitsuo Nixon,2002
A Short History of Modern Philosophy (Routledge Classics),Roger Scruton,2001
Ancient Philosophy,Anthony Kenny,2006
Woody Allen and Philosophy: [You Mean My Whole Fallacy Is Wrong?],Mark T. Conard/Aeon J. Skoble/Tom Morris/William Irwin,2004
Philosophy of Religion,John Harwood Hick,1989
Early Greek Philosophy,Jonathan Barnes,2002
Contemporary Political Philosophy,Will Kymlicka,2001
Buffy the Vampire Slayer and Philosophy: Fear and Trembling in Sunnydale,James B. South/William Irwin,2003
Philosophy: The Classics,Nigel Warburton,1998
The Oxford Handbook of Philosophy of Mathematics and Logic,Stewart Shapiro,2007
Three Books of Occult Philosophy,Cornelius Agrippa/Donald Tyson,1992
Philosophy Made Simple,Robert Hellenga,2007
The Philosophy of Biology,David L. Hull/Michael Ruse,1998
Philosophy and the Mirror of Nature,Richard M. Rorty,1981
The Best American Sports Writing 2003,Buzz Bissinger/Glenn Stout/Elizabeth Gilbert/Bill Plaschke/Gary Smith/Michael J. Agovino,2003
Walking the Bible: A Journey by Land Through the Five Books of Moses,Bruce Feiler,2005
Mac OS X: Tiger Edition (The Missing Manual),David Pogue,2005
Astonishing X-Men  Volume 2: Dangerous,Joss Whedon/John Cassaday,2007
FINAL FANTASY X Official Strategy Guide,Dan Birlew,2001
Ultimate X-Men  Vol. 14: Phoenix?,Robert Kirkman/Ben Oliver/Tom Raney,2006
Astonishing X-Men  Volume 1: Gifted,Joss Whedon/John Cassaday,2006
Cross-X,Joe  Miller,2006
Astonishing X-Men  Volume 3: Torn,Joss Whedon/John Cassaday,2007
X/1999  Volume 01: Prelude,CLAMP,2003
X/1999  Volume 02: Overture,CLAMP/Fred Burke,2003
The Gospel According to Job,Mike Mason,2002
Avid Editing: A Guide for Beginning and Intermediate Users,Sam Kauffmann,2003
The Complete Poems (Poetry Library),D.H. Lawrence,1994
Complete Short Stories  Vol 2,D.H. Lawrence,1961
D.H. Lawrence and Italy: Twilight in Italy/Sea and Sardinia/Etruscan Places,D.H. Lawrence,1997
The Complete Poems,D.H. Lawrence/Vivian de Sola Pinto/Warren Roberts,1994
Sons and Lovers,D.H. Lawrence/Geoff Dyer,1999
The Woman Who Rode Away and Other Stories,D.H. Lawrence/Christa Jansohn,2002
Amnesia Moon,Jonathan Lethem,2005
Paul Revere's Ride,David Hackett Fischer,1995
The Great Wave: Price Revolutions and the Rhythm of History,David Hackett Fischer,1999
Growing Old in America: The Bland-Lee Lectures Delivered at Clark University,David Hackett Fischer,1978
Nathaniel Hawthorne: The Scarlet Letter: Essays  Articles  Reviews,Elmer Kennedy-Andrews,2000
The All-True Travels and Adventures of Lidie Newton,Jane Smiley,1998
The Age of Grief,Jane Smiley,2002
A Year at the Races: Reflections on Horses  Humans  Love  Money  and Luck,Jane Smiley,2005
Venetia,Georgette Heyer,2006
Lady of Quality,Georgette Heyer,2005
False Colours,Georgette Heyer,2005
Sylvester,Georgette Heyer/Joan Wolf,2004
The Convenient Marriage,Georgette Heyer,2005
Sprig Muslin,Georgette Heyer,2005
The Talisman Ring,Georgette Heyer,2005
The Nonesuch,Georgette Heyer,2005
The Foundling,Georgette Heyer/Kay Hooper,2003
Ali and Nino,Kurban Said/Jenia Graman,2000
Ali und Nino,Kurban Said,2002
Last Rights (Francis Hancock #1),Barbara Nadel,2006
Belshazzar's Daughter (Inspector Ikmen #1),Barbara Nadel,2006
Deep Waters (Cetin Ikmen  #4),Barbara Nadel,2002
After the Mourning (Francis Hancock #2),Barbara Nadel,2006
Spiritual Midwifery,Ina May Gaskin,2002
Monday Night Class,Stephen Gaskin,2005
Summer of the Dragon,Elizabeth Peters,2001
Devil May Care,Elizabeth Peters,2001
The Deeds of the Disturber (Amelia Peabody  #5),Elizabeth Peters,2000
The Mammoth Book of Egyptian Whodunnits,Mike Ashley/Elizabeth Peters/Lynda S. Robinson/Lauren Haney,2002
The Best American Classics,Cook's Illustrated Magazine/John  Burgoyne,2006
Cook's Illustrated 2005 (Cook's Illustrated Annuals),Cook's Illustrated Magazine,2005
Cook's Illustrated 2003 (Cook's Illustrated Annuals),Cook's Illustrated Magazine,2003
Cook's Illustrated 1995 (Cook's Illustrated Annuals),Cook's Illustrated Magazine,1995
Zelda's Cut,Philippa Gregory,2001
Thanksgiving on Thursday (Magic Tree House  #27),Mary Pope Osborne/Salvatore Murdocca,2002
Rurouni Kenshin  Volume 27,Nobuhiro Watsuki,2006
Sukhoi Su-27 Flanker (WarbirdTech  #42),Yefim Gordon/Peter Davison,2006
1001 Illuminated Initial Letters: 27 Full-Color Plates,Owen    Jones,1988
Gold Rage (Wilderness  #27),David   Robbins/David Thompson,1999
Asfixia,Chuck Palahniuk,2006
Expectant Father,Melinda Curtis,2011
Horse Heaven,Jane Smiley,2003
White Oleander,Janet Fitch,2001
The Night Remembers (Night  #1),Kathleen Eagle,1998
The Mephisto Club (Rizzoli & Isles  #6),Tess Gerritsen,2006
Vanish (Rizzoli & Isles  #5),Tess Gerritsen,2006
Call After Midnight & Under The Knife,Tess Gerritsen,2006
The Sinner (Rizzoli & Isles  #3),Tess Gerritsen,2005
Body Double (Rizzoli & Isles  #4),Tess Gerritsen,2005
Life Support,Tess Gerritsen,1998
The Family that Couldn't Sleep,D.T. Max,2006
River Out of Eden: A Darwinian View of Life,Richard Dawkins/Lalla Ward,1996
Dragons of Eden: Speculations on the Evolution of Human Intelligence,Carl Sagan,1986
Eden: It's an Endless World  Volume 1 (Eden: It's an Endless World  #1),Hiroki Endo,2005
Demonic Males: Apes and the Origins of Human Violence,Richard W. Wrangham/Dale Peterson,1997
A Mad People's History of Madness,Dale Peterson,1982
A Primate's Memoir: A Neuroscientist's Unconventional Life Among the Baboons,Robert M. Sapolsky,2002
Blame It on the Brain: Distinguishing Chemical Imbalances  Brain Disorders  and Disobedience,Edward T. Welch,1998
Blame!  Vol. 7,Tsutomu Nihei,2007
The Berenstain Bears and the Blame Game,Stan Berenstain/Jan Berenstain,1997
Blame!  Vol. 8,Tsutomu Nihei,2007
The New Don't Blame Mother: Mending the Mother-Daughter Relationship,Paula J. Caplan,2000
Blame It on Paris,Laura Florand,2006
No Wind of Blame (Inspector Hemingway #1),Georgette Heyer,2006
Uncle John's Presents Blame It on the Weather: Amazing Weather Facts,David W. Phillips/Michael Parfit/Suzanne Chisholm/Bathroom Readers' Institute,2002
Who's To Blame (Sweet Valley High  #66),Francine Pascal/Kate William,1990
Blame! #1,Tsutomu Nihei,2000
Fire in the Minds of Men: Origins of the Revolutionary Faith,James H. Billington,1980
Mutant Message Down Under,Marlo Morgan,2004
Mutants: On Genetic Variety and the Human Body,Armand Marie Leroi,2005
The New Mutants Classic  Vol. 1,Chris Claremont/Bob McLeod,2006
James Dean: The Mutant King: A Biography,David Dalton,2001
Dry,Augusten Burroughs,2004
Yes  Your Teen Is Crazy!: Loving Your Kid Without Losing Your Mind,Michael J. Bradley,2002
El Retrato De Dorian Gray,Oscar Wilde,2006
Henry IV  Part 1,William Shakespeare/Barbara A. Mowat/Paul Werstine,2005
Henry IV  Part 2,William Shakespeare/Barbara A. Mowat/Paul Werstine,2006
Henry IV  part II,William Shakespeare,2005
King Henry IV  Part 2,William Shakespeare/Arthur Raleigh Humphreys,1967
Piccole donne,Louisa May Alcott/Jame's Prunier/Laura Cangemi,2001
I Henry IV,William Shakespeare/Gordon McMullan,2003
Collected Plays: Henry IV  The Man with the Flower in His Mouth  Right You Are,Luigi Pirandello/Henry Reed,1987
Henry IV  Parts I & II,William Shakespeare/Ronald K. Levao,2006
Black Sunday,Thomas  Harris,2005
Hannibal (Hannibal Lecter  #3),Thomas  Harris,2000
The Hannibal Lecter Trilogy,Thomas  Harris,2005
Velocity,Dean Koontz,2006
Hideaway,Dean Koontz,2005
Lightning,Dean Koontz,2003
Icebound,David Axton/Dean Koontz,2000
The Servants of Twilight / Darkfall / Phantoms,Dean Koontz/Leigh Nichols,1991
Shadow Fires,Leigh Nichols/Dean Koontz,1993
The Bad Place,Dean R. Koontz,2004
Fear Nothing (Moonlight Bay  #1),Dean Koontz,1998
The Key to Midnight,Dean Koontz/Leigh Nichols,1995
Mr. Murder,Dean Koontz,2006
Phantoms,Dean Koontz,2002
The Face,Dean Koontz,2004
Shattered,Dean Koontz,1985
Intensity,Dean Koontz,2000
The Good Guy,Dean Koontz,2007
The Eyes of Darkness,Leigh Nichols/Dean Koontz,1996
The Door to December,Richard Paige/Dean Koontz,2002
The Servants of Twilight,Leigh Nichols/Dean Koontz,1991
Darkfall,Dean Koontz,2007
Ghosts and Grisly Things,Ramsey Campbell/Jack Dann/Dennis Etchison,2001
Shakespeare: The Biography,Peter Ackroyd,2006
The Necessary Shakespeare,William Shakespeare,2004
Shakespeare After All,Marjorie Garber,2005
Playing Shakespeare: An Actor's Guide,John   Barton/Luann Walther,2001
John Grisham Value Collection: A Time to Kill  The Firm  The Client,John Grisham/Michael Beck/Blair Brown/D.W. Moffett,2004
The Pelican Brief,John Grisham,2006
The Harry Bosch Novels  Volume 1: The Black Echo / The Black Ice / The Concrete Blonde (Harry Bosch #1-3),Michael Connelly,2001
Echo Park (Harry Bosch  #12; Harry Bosch Universe  #16),Michael Connelly,2006
Angels Flight (Harry Bosch  #6; Harry Bosch Universe  #7),Michael Connelly,2000
The Harry Bosch Novels  Volume 2: The Last Coyote / Trunk Music / Angels Flight (Harry Bosch  #4-6),Michael Connelly,2003
The Closers (Harry Bosch  #11; Harry Bosch Universe  #14),Michael Connelly,2006
The Poet (Jack McEvoy  #1; Harry Bosch Universe  #5),Michael Connelly,2002
Chasing the Dime,Michael Connelly,2003
The Black Echo (Harry Bosch  #1; Harry Bosch Universe  #1),Michael Connelly,2002
Tales From Shakespeare,Charles Lamb/Mary Lamb/Arthur Rackham,1994
Shakespeare's Champion (Lily Bard  #2),Charlaine Harris,2006
Will in the World: How Shakespeare Became Shakespeare,Stephen Greenblatt,2004
Sonnets,William Shakespeare/Barbara A. Mowat/Paul Werstine,2004
Shakespeare's Trollop (Lily Bard  #4),Charlaine Harris,2004
Shakespeare's Kitchen: Renaissance Recipes for the Contemporary Cook,Francine Segan/Tim Turner/Patrick O'Connell,2003
Sonnets,William Shakespeare/Stephen  Booth,2000
The Art of Shakespeare's Sonnets,Helen Vendler,1999
Hide (Detective D.D. Warren  #2),Lisa Gardner,2007
Alone (Detective D.D. Warren  #1),Lisa Gardner/Anna Fields,2005
The Third Victim (Quincy & Rainie  #2),Lisa Gardner,2001
On Becoming a Novelist,John Gardner/Raymond Carver,1999
The Art of Fiction: Notes on Craft for Young Writers,John Gardner,1991
October Light,John Gardner/Tom Bissell,2005
Excellence,John W. Gardner,1995
Conversations with Bernard Malamud (Literary Conversations),J. Michael Lennon/Lawrence M. Lasher,1991
Essential Tales and Poems,Edgar Allan Poe/Benjamin F. Fisher,2004
Poetry  Tales and Selected Essays,Edgar Allan Poe/Gary Richard Thompson/G.R. Thompson/Patrick F. Quinn,1996
The Complete Stories,Franz Kafka/Nahum N. Glatzer/John Updike,1995
The Sons,Franz Kafka/Edwin Muir/Willa Muir/Eithne Wilkins/Ernst Kaiser/Mark Anderson/Arthur S. Wensinger,1989
The Metamorphosis and Other Stories,Franz Kafka/Donna Freed/Jason Baker,2004
The Metamorphosis And Other Stories,Franz Kafka/Joachim Neugroschel,1993
Metamorphosis (Star Trek: The Next Generation),Jean Lorrah,1990
Lolita,Richard Corliss,1994
Lolita: The Screenplay,Vladimir Nabokov,1997
Lolita,Vladimir Nabokov/Martin Amis,1993
Mysteries,Knut Hamsun/Sverre Lyngstad,2001
Hunger,Knut Hamsun/George Egerton,2003
Victoria,Knut Hamsun/Oliver Stallybrass,1994
The Wanderer,Knut Hamsun/Oliver Stallybrass/Gunnvor Stallybrass,2001
Pan,Knut Hamsun/Sverre Lyngstad,1998
The Last Joy,Knut Hamsun/Sverre Lyngstad,2002
In Wonderland,Knut Hamsun/Sverre Lyngstad,2003
Guilty as Charged,Scott Turow/Sarah Shankman/Jay Brandon/Jeremiah Healy/Ed Gorman/John Jakes/Maynard F. Thomson/Lia Matera/Susan Dunlap/Bill Pronzini/John Lutz/Andrew Klavan/Marcia Muller/Stuart M. Kaminsky/Carolyn Wheat/Stan Washburn/Valerie Frankel,1996
On the Shoulders of Giants: The Great Works of Physics and Astronomy,Stephen Hawking/Isaac Newton/Nicolaus Copernicus/Albert Einstein/Johannes Kepler/Galileo Galilei,2006
Visions of Heaven and Hell,Clive Barker,2005
Books of Blood: Volumes One to Three (Books of Blood #1-3),Clive Barker,1998
Everville (Book of the Art #2),Clive Barker,1999
The Great and Secret Show (Book of the Art #1),Clive Barker,1999
Abarat: Days of Magic  Nights of War,Clive Barker,2006
Imajica: The Reconciliation,Clive Barker,1995
Sacrament,Clive Barker,1997
The Inhuman Condition (Books of Blood  #4),Clive Barker,2001
The Return of the Native,Thomas Hardy/Alexander Theroux,2001
The Return of the Native,Thomas Hardy/Phillip Mallett,2006
The Stephen King Collection: Stories from Night Shift,Stephen King/John  Glover,2000
Blood and Smoke,Stephen King,2000
LT's Theory of Pets,Stephen King,2001
Silver Bullet,Stephen King/Bernie Wrightson,1985
Patriot Games (Jack Ryan  #1),Tom Clancy,1992
Legends,Robert Silverberg/Stephen King/Robert Jordan/Terry Goodkind/Anne McCaffrey/Orson Scott Card/Tad Williams/George R.R. Martin/Raymond E. Feist/Terry Pratchett/Ursula K. Le Guin,2001
Bare Bones: Conversations on Terror with Stephen King,Tim Underwood/Chuck Miller/Stephen King,1989
Four Past Midnight,Stephen King,2004
Gerald's Game,Stephen King,1992
Faithful: Two Diehard Boston Red Sox Fans Chronicle the Historic 2004 Season,Stewart O'Nan/Stephen King,2005
El umbral de la noche,Stephen King/Gregorio Vlastelica/Eduardo Goligorsky,2004
The Diary of Ellen Rimbauer: My Life at Rose Red,Joyce Reardon/Steven Rimbauer/Ridley Pearson,2001
Now and on Earth,Jim Thompson/Stephen King,1994
The Monkey,Stephen King/David Purdham,1989
Desperation / The Regulators: Box Set,Stephen King/Richard Bachman,1996
Ojos de fuego,Stephen King/Eduardo Goligorsky,2001
Tevye's Daughters: Collected Stories of Sholom Aleichem,Sholom Aleichem/Frances Butwin,1999
Favorite Tales of Sholom Aleichem,Sholom Aleichem/Ben Shahn/Frances Butwin/Julius Butwin,1990
Brown Girl  Brownstones,Paule Marshall/Mary Helen Washington/Edwidge Danticat,2006
V.,Thomas Pynchon,1994
Gimpel the Fool: And Other Stories,Isaac Bashevis Singer/Saul Bellow,1988
At the Mountains of Madness and Other Novels,H.P. Lovecraft/James Turner/S.T. Joshi/August Derleth,1985
At the Mountains of Madness and Other Tales of Terror,H.P. Lovecraft,1991
Mountain Madness (Wilderness  #24),David   Robbins/David Thompson,1998
At the Mountains of Madness and Other Novels of Terror,H.P. Lovecraft/August Derleth/E. Hoffmann Price,2002
The Aeneid,Virgil/Robert Fitzgerald,1992
The Aeneid (Verse Translation),Virgil/Rolfe Humphries,1987
The Iliad,Homer/Andrew Lang,2011
War and the Iliad,Simone Weil/Rachel Bespaloff/Mary McCarthy/Christopher E.G. Benfey/Hermann Broch,2005
The Iliad,Homer/Victor G. Ambrus/Nick McCarty,2000
Trojan Odyssey (Dirk Pitt  #17),Clive Cussler,2004
The Divine Comedy II: Purgatory,Dante Alighieri/Dorothy L. Sayers/C.W. Scott-Giles,1981
The Divine Comedy,Dante Alighieri/C.H. Sisson/David H. Higgins,1998
Paradiso (The Divine Comedy  #3),Dante Alighieri/Dorothy L. Sayers/Barbara Reynolds,1962
Modern Reader's Guide to Dante's the Divine Comedy,Joseph Gallagher,1999
The Canterbury Tales,Geoffrey Chaucer/Nevill Coghill,1970
The Canterbury Tales: Fifteen Tales and the General Prologue,Geoffrey Chaucer/V.A. Kolve/Glending Olson,2005
Fanning the Flame: Bible  Cross  and Mission,Chris    Green/Chris Wright/Paul Douglas Gardner,2003
From the Earth to the Moon (Extraordinary Voyages  #4),Jules Verne,2006
The Mammoth Book of New Jules Verne Adventures: Return to the Center of the Earth and Other Extraordinary Voyages  New Tales by the Heirs of Jules Verne,Mike Ashley/Eric Brown/Keith Brooke/Johan Heliot/Kevin J. Anderson/Sarah A. Hoyt/Justina Robson/Adam Roberts/Paul Di Filippo/Tim Lebbon/Molly Brown/Tony Ballantyne/Stephen Baxter/Richard A. Lupoff/Sharan Newman/Michael Pagel/Liz Williams/Brian Stableford/James Lovegrove/Ian Watson/Peter Criwther/Laurent Genefirt/F. Gwynplaine MacIntyre/Michael Mallory,2005
Journey to the Center of the Earth (Extraordinary Voyages  #3),Jules Verne,2006
20 000 Leagues Under The Sea,Pauline Francis/Jules Verne,2004
The Mysterious Island (Extraordinary Voyages  #12),Jules Verne/Caleb Carr/Jordan Stump,2004
The Lighthouse at the End of the World,Jules Verne,2001
The End of Nana Sahib: The Steam House (Extraordinary Voyages  #20),Jules Verne/Agnes D. Kingston,2003
Around the World in Eighty Days,Jules Verne/Herbert R. Lottman/Jacqueline Rogers,2005
Around the World in Eighty Days,Jules Verne/George M. Towle/Bruce Sterling,2003
The Mysterious Island,Jules Verne/Jordan Stump/Caleb Carr,2002
Adrift in the Pacific: Two Years Holiday (Extraordinary Voyages  #32),Jules Verne,2003
Final Payments,Mary Gordon,2006
Sliver of Truth (Ridley Jones #2),Lisa Unger,2007
The Mothman Prophecies,John A. Keel,2002
Intimate Communion: Awakening Your Sexual Essence,David Deida/Lorrie Bortner,1995
Letter to a Man in the Fire: Does God Exist and Does He Care?,Reynolds Price,2000
The Promise of Rest,Reynolds Price/Mary Bess Engel,1996
Perfect Match,Jodi Picoult,2002
Demon Box,Ken Kesey,1987
Sailor Song,Ken Kesey,1993
On the Bus: The Complete Guide to the Legendary Trip of Ken Kesey and the Merry Pranksters and the Birth of Counterculture,Paul Perry/Ken Babbs,1997
The Further Inquiry,Ken Kesey/Ron Bevirt,1990
Goodnight Moon,Margaret Wise Brown/Clement Hurd,2007
Goodnight Moon 123: A Counting Book (Over the Moon),Margaret Wise Brown/Clement Hurd,2007
New Rules: Polite Musings from a Timid Observer,Bill Maher,2005
True Story,Bill Maher,2005
Does Anybody Have a Problem With That? The Best of Politically Incorrect,Bill Maher,1997
The Outsiders,S.E. Hinton,2003
Outsiders Within: Writing on Transracial Adoption,Jane Jeong Trenka/Julia Chinyere Oparah,2006
Outsiders  Vol. 5: The Good Fight,Judd Winick/Matthew Clark/Art Thibert/Pop Mhan/Ron Randall,2007
Sister Outsider: Essays and Speeches,Audre Lorde,1984
Caramelo,Sandra Cisneros,2003
The House on Mango Street,Sandra Cisneros,2005
The Merchant of Venice,William Shakespeare,2005
Nancy Drew: Girl Detective: #1-4,Carolyn Keene,2004
Nancy's Mysterious Letter (Nancy Drew Mystery Stories  #8),Carolyn Keene/Walter Karig,1996
The Secret of the Old Clock (Nancy Drew Mystery Stories  #1),Carolyn Keene/Russell H. Tandy/Sara Paretsky,1991
The Mystery at the Moss-covered Mansion (Nancy Drew Mystery Stories  #18),Carolyn Keene/Russell H. Tandy/Mildred Benson,2003
The Mystery of the Brass-Bound Trunk (Nancy Drew Mystery Stories  #17),Carolyn Keene/Mildred Benson,2001
The Mantle of the Prophet: Religion and Politics in Iran,Roy Mottahedeh,2000
The Greatest Generation,Tom Brokaw,2001
Maverick: The Success Story Behind the World's Most Unusual Workplace,Ricardo Semler,2001
Weekend Warriors (Sisterhood  #1),Fern Michaels,2004
The Weekend Novelist,Robert J. Ray/Bret Norris,2005
The Week-End Book,Francis Meynell/John Julius Norwich/Francis Maynell,2006
North Carolina Weekends,Lynn Setzer,2003
Far from the Madding Crowd,Thomas Hardy/Margaret Drabble,2001
Selected Poems,Thomas Hardy/Robert Mezey,1998
Selected Poetry,Thomas Hardy/Samuel Hynes,1999
Underworld (Underworld  #1),Greg Cox/Danny McBride/Len Wiseman/Kevin Grevioux,2003
Underworld: The Mysterious Origins of Civilization,Graham Hancock,2003
The Dream and the Underworld,James Hillman,1979
Underworld (Star Wars: The Last of the Jedi  #3),Jude Watson,2005
Star Wars: Underworld - The Yavin Vassilika,Mike Kennedy/Carlos Meglia,2001
Underworld: Blood Enemy (Underworld  #2),Greg Cox/Len Wiseman/Kevin Grevioux,2004
Queen of the Underworld,Gail Godwin,2007
Murder in the Cathedral,T.S. Eliot,1964
Cathedral  Forge  and Waterwheel: Technology and Invention in the Middle Ages,Frances Gies/Joseph Gies,1995
In the Kitchen with Rosie: Oprah's Favorite Recipes,Rosie Daley/Oprah Winfrey,1994
King Richard II,William Shakespeare/Andrew Gurr,2003
King Richard II,William Shakespeare/Charles R. Forker,2002
King Richard II,William Shakespeare/Andrew Gurr,1984
Floating in My Mother's Palm,Ursula Hegi/John Collier/Francine Kass,1998
Tearing the Silence: On Being German in America,Ursula Hegi,1998
Paint it Black,Janet Fitch,2006
The Tempest,William Shakespeare/Peter Hulme/William H. Sherman,2003
