Title,Author,Year
UNDERDEVELOPMENT AND NAXALISM IN INDIA: Reflexive Discourse and Debates,Smita Verma (ed),2018
"WOMEN, VIOLENCE AND SOCIAL STIGMA: A Sociology of Burn Attacks",0
FEMALE JUVENILE DELINQUENCY,Saumya Shanker,2018
EDUCATING EX-CRIMINAL TRIBES: Issues and Concerns,Malli Gandhi ,2017
"GENDER, PATRIARCHY AND VIOLENCE: The Case of Punjab and Haryana",0
"CRIMINALISATION OF POLITICS: Caste, Land and the State",0
CRIMINOLOGY,Ram Ahuja,2015
CRIMINOLOGY,Ram Ahuja,2015
"VIOLENCE IN MEDIA AND SOCIETY: Literature, Film and TV",0
"CRIMINOLOGICAL THEORIES: Introduction, Evaluation,0
LEISURE AND CRIME,Mohammad M. Hussinat,1997
"ETHNICITY, IDENTITY AND CULTURE: Scheduled Tribes of Andhra Pradesh and Telangana",0
"AN INTRODUCTION TO SOCIAL AND CULTURAL ANTHROPOLOGY: Small Places, Large Issues (Fourth Edition)",0
ISSUES AND THEMES IN CONTEMPORARY SOCIETY: Essays in Honour of Professor Ishwar Modi,B.K. Nagla and Vinay Kumar Srivastava (Eds),2019
GLOBALIZATION AND CULTURE,John Tomlinson,2019
"LITERATURE, CULTURE AND SOCIETY",0
"TRIBAL LANGUAGE,LITERATURE AND FOLKLORE:  Emerging Approaches in Tribal Studies",0
MODERNIZATION OF ASIAN THEATRES: Process and Tradition,Yasushi Nagata and Ravi Chaturvedi (Eds.),2019
MULTICULTURALISM,C.W. Watson,2019
CULTURE,Mark J. Smith,2019
MULTICULTURALISM,C.W. Watson,2019
CULTURE  reinventing the social sciences,Mark J. Smith,2019
"CULTURE, HISTORY AND POLITICS: South Asian Narratives",0
"GENDER, CULTURE AND HONOUR: Gender Audit of Punjab and Haryana",0
"CULTURES, IDENTITIES,0
RELIGIOUS DEMOGRAPHY OF INDIA: Myths and Realities,Lancy Lobo and Jayesh Shah (eds),2018
ANTHROPOLOGY AND DEVELOPMENT: Understanding Contemporary Social Change,Jean-Pierre Olivier de Sardan,2018
INDIAN FICTION AND MULTICULTURALISM,J. Yellaiah and K. Damodar Rao (eds),2018
SOCIETY AND CULTURE IN INDIA: Their Dynamics through the Ages,"Indra Deva,0
CONTEMPORARY CULTURAL THEORY,"Andrew Milner,0
MANAGEMENT CULTURE IN INDIA: An Ethnographic Study,  M. Romesh Singh,2017
"MIGRATION, IDENTITY AND CONFLICT: Lived Experience of Northeasterners in Delhi",0
CONTEMPORARY INDIAN THEATRE: Theatricality and Artistic Crossovers ,Ravi Chaturvedi and Tapati Gupta (eds),2017
MODERNISM: A Cultural History,Tim Armstrong,2017
FEMINIST CRITICISM: Women as Contemporary Critics,Maggie Humm,2017
MEDIA & SOCIETY: Critical Perspectives (Second Edition),Graeme Burton,2017
MAPPING INDIAN DIASPORA: Contestations and Representations,Ajaya K. Sahoo (ed.),2017
KEY CONCEPTS IN LITERARY THEORY (3rd Edition),"Julian Wolfreys,0
POST-THEORY: New Directions in Criticism,"Martin McQuillan,0
